Brand,Line,Recipie,Brand Name/Line /Recipe and Recipe,Life Stage,Store,Cost per cup,Cups Required 44lb less active,First Ingredients
,,,Puppy Classic Dry,Puppy,,$0.46,,
,,,Mature Adult Dry,Senior,,$0.39,,
,,,Heartland Gold,,,,,
,,,Puppy Dry,Puppy,,$0.79,,
,,,Adult ,Adult  ,,$0.75,,
,,,Large Breed Puppy,Puppy LB,,$0.77,,
,,,Large Breed Adult,Adult LB,,$0.73,,
,,,Four Star,,,,,
,,,Beef Frittata Veg ,Adult  ,,$0.94,,
,,,Chicken A La Veg,Adult  ,,$0.66,,
,,,Chicken au Frommage ,Adult  ,,$0.94,,
,,,Duck A La Veg,Adult  ,,$0.67,,
,,,Game Bird,Adult  ,,$0.92,,
,,,Hasen Duckenpfeffer ,Adult  ,,$0.94,,
,,,"HIghlander Beef, Oats, n' Barley",Adult  ,,$0.93,,
,,,Lamb & Lentil,Adult  ,,$0.94,,
,,,Pork & Applesauce ,Adult  ,,$0.66,,
,,,Pork & Peas,Adult  ,,$0.94,,
,,,Rancherosa,Adult  ,,$0.91,,
,,,Salmon A La Veg,Adult  ,,$0.69,,
,,,Salmon Tunalini ,Adult  ,,$0.94,,
,,,Surf & Turf,Adult  ,,$0.94,,
,,,Whitefish & Potato,Adult  ,,$0.68,,
,,,Gold,,,,,
,,,Puppy,Puppy,,$0.59,,
,,,Large Breed Puppy,Puppy LB,,$0.57,,
,,,Small Breed Adult ,Adult SB,,$0.72,,
,,,Adult,Adult  ,,$0.55,,
,,,Large Breed Adult,Adult LB,,$0.52,,
,,,Weight Management,Adult  ,,$0.56,,
,,,Large Breed Weight Management,Adult LB,,$0.51,,
,,,Reduced Activity & Senior,Senior,,$0.53,,
,,,Forza10,,,,,
,,,Dermo Active,,,$1.05,,
,,,Gentle Giant ,,,,,
,,,Gentle Giant,Adult LB,,,3.5,
,,,Hill's Science Diet,,,,,
,,,Perfect Weight Dog Food (28.5 lb),Adult  ,,$0.67,2,
,,,Hills Science Large Breed Puppy,Puppy LB,,$0.57,,
,,,Hill's® Science Diet® Adult Healthy Mobility™ Dog Food,Adult  ,,$0.63,3,
,,,Holistic Select,,,,,
,,,Deboned Turkey & Lentils,Adult  ,,$0.76,,
,,,Lamb Meal Recipe,Adult  ,,$0.73,,
,,,Chicken & Rice,Adult  ,,$0.66,,
,,,Chicken & Lentils Senior,Senior,,$0.86,,
,,,Large and Giant Breed Adult GF,Adult LB,,$0.81,,
,,,Large and Giant Adult,Adult LB,,$0.73,,
,,,"Anchovy, Sardine & Chicken SB",Senior SB,,$1.80,,
,,,Duck Meal Recipe,Adult  ,,$0.89,,
,,,"Anchovy, Sardine & Salmon (no peas or lentils)",Adult  ,,$0.71,,
,,,The Honest Kitchen ,,,,,
,,,Whole food Clusters - grain free Turkey ,,Homesalive,$1.11,,
,,,Whole food Clusters - grain free Beef,,Homesalive,$1.11,,
,,,Whole food Clusters - grain free Chicken,,Homesalive,$1.11,,
,,,Horizon ,,,,,
,,,Amicus - Small Breed,,,,,
,,,Chicken - All Life Stages,ALS,,$0.73,,
,,,Salmon - All Life Stages,ALS,,$0.83,,
,,,Lamb - All Life Stages,ALS,,$0.83,,
,,,Adult - Tri-Protein,ALS,,$0.82,,
,,,Complete,,,,,
,,,Complete Large Breed,Adult LB,,$0.48,3.75,
,,,Complete All Life Stage,ALS,,$0.48,3.75,
,,,Complete Large Breed Adult,Adult LB,,$0.47,2.5,
,,,Complete Large Breed Puppy,Puppy LB,,$0.49,,
,,,Complete Senior and Weight Management,Senior,,$0.48,1.99,
,,,Legacy Grain Free ,,,,,
,,,Adult ,Adult  ,,$0.66,,
,,,Salmon (All Life Stages),ALS,,$0.71,,
,,,Puppy Tri-Protien,Puppy,,$0.77,,
,,,Pulsar ,,,,,
,,,Turkey,Adult  ,,$0.50,,
,,,Pork,Adult  ,,$0.55,,
,,,Chicken Whole Grain ,Adult  ,,$0.52,,
,,,Pork Whole Grain,Adult  ,,$0.56,,
,,,iams,,,,,
,,,Adult Minichunks,Adult  ,petsmart,$0.31,,"Chicken, Corn Meal, Ground Whole Grain Sorghum, Chicken By-Product Meal, Dried Beet Pulp, Chicken Flavor, Chicken Fat (preserved with mixed Tocopherols, a source of Vitamin E), Dried Egg Product, Potassium Chloride, Salt, Flax Meal, Calcium Carbonate, Choline"
,,,iams lamb & rice,Adult  ,petsmart,$0.34,,"lamb, whole grain sourghum, chicken by-product meal…."
,,,Iams high protein chicken  & turkey,Adult  ,petsmart,$0.47,,
,,,Iams Original Puppy,Puppy,,$0.36,,
,,,Iams Proactive Lamb & Rice,Adult  ,,$0.35,,"Lamb, Chicken By-Product Meal, Brewers Rice, Ground Whole Grain Barley, Ground Whole Grain Corn, Ground Whole Grain Sorghum, Chicken Fat (preserved with mixed Tocopherols), Corn Gluten Meal, Chicken Meal, Dried Beet Pulp, Natural Flavour, Brewers Dried Yeast, Dried Egg Product, Caramel Colour, Potassium Chloride, Carrots, Flaxseed, Choline Chloride"
,,,Iams Proactive Health Active Maturity,Senior,,$0.35,,"Corn Meal, Chicken By-Product Meal, Ground Whole Grain Sorghum, Dried Beet Pulp, Chicken, Dried Egg Product, Ground Whole Grain Barley, Chicken Flavor, Chicken Fat (preserved with mixed Tocopherols, a source of Vitamin E), Brewers Dried Yeast, Potassium Chloride, Calcium Carbonate, Salt, Sodium Hexametaphosphate, Flax Meal, Fructooligosaccharides, "
,,,Iam Proactive Health MiniChunks,Adult  ,,$0.36,,"Chicken, Corn Meal, Ground Whole Grain Sorghum, Chicken By-Product Meal, Dried Beet Pulp, Chicken Flavor, Chicken Fat (preserved with mixed Tocopherols, a source of Vitamin E), Dried Egg Product, Potassium Chloride, Salt, Flax Meal, Calcium Carbonate, Choline Chloride, Fructooligosaccharides, "
,,,Iams Proactive Weight Control ,Adult  ,,$0.34,,"Corn Meal, Chicken By-Product Meal, Ground Whole Grain Sorghum, Chicken, Ground Whole Grain Barley, Dried Beet Pulp, Chicken Flavor, Chicken Fat (preserved with mixed Tocopherols, a source of Vitamin E), Dried Egg Product, Brewers Dried Yeast, Potassium Chloride, Salt, Choline Chloride, Flax Meal, Calcium Carbonate, DL-Methionine, Fructooligosaccharides, Minerals "
,,,Iams Proactive Health Large Breed Adult,Adult LB,,$0.34,,"Chicken, Corn Meal, Ground Whole Grain Sorghum, Chicken By-Product Meal (source of Chondroitin Sulfate and Glucosamine), Ground Whole Grain Barley, Dried Beet Pulp, Chicken Flavor, Dried Egg Product, Chicken Fat (preserved with mixed Tocopherols, a source of Vitamin E), Brewers Dried Yeast, Potassium Chloride, Salt, Dicalcium Phosphate, Flax Meal, Choline "
,,,Iams Proactive Health Large Breed Mature,Senior LB,,$0.29,,"Corn Meal, Chicken By-Product Meal (source of Chondroitin Sulfate and Glucosamine), Ground Whole Grain Sorghum, Chicken, Dried Beet Pulp, Ground Whole Grain Barley, Chicken Flavor, Dried Egg Product, Chicken Fat (preserved with mixed Tocopherols, a source of Vitamin E), Brewers Dried Yeast, Potassium Chloride, Salt, Sodium Hexametaphosphate, "
,,,Iams Proactive Health Large Breed Puppy,Puppy LB,,$0.36,,"Chicken, Chicken By-Product Meal, Corn Meal, Ground Whole Grain Sorghum, Corn Grits, Brewers Rice, Dried Beet Pulp, Chicken Flavor, Fish Meal, Fish Oil (preserved with mixed Tocopherols, a source of Vitamin E), Chicken Fat (preserved with mixed Tocopherols, a source of Vitamin E), Dried Egg Product, Brewers Dried Yeast, Potassium Chloride, Salt, Choline Chloride, Calcium Carbonate, L-Lysine Monohydrochloride,"
,,,Iams Proactive Health Original Puppy,Puppy,,$0.39,,"Chicken, Corn Meal, Chicken By-Product Meal, Ground Whole Grain Sorghum, Dried Beet Pulp, Chicken Flavor, Chicken Fat (preserved with mixed Tocopherols, a source of Vitamin E), Chicken Meal, Fish Oil (preserved with mixed Tocopherols, a source of Vitamin E), Dried Egg Product, Potassium Chloride, Brewers Dried Yeast, Salt, Choline Chloride, Fructooligosaccharides, Minerals ("
,,,Kibbles & Bits,,,,,
,,,Original Savoury Chicken Flavour,Adult  ,,,,
,,,Brushing Bites® Savoury Chicken & Vegetable Flavour,Adult  ,,,,
,,,Small Breed Original Savoury Chicken Flavour,Adult SB,,,,
,,,Tender Pork & Spring Vegetable Flavour,Adult  ,,,,
,,,Kirkland,,,,,
,,,"Kirkland Signature Chicken, Rice and Vegetable Small Breed Dog Food",Adult SB,Costco,$0.31,1,
,,,Kirkland Signature Healthy Weight Dog Food,Adult  ,Costco,$0.22,1.75,
,,,"Kirkland Signature Chicken, Rice & Vegetables Adult Dog Food",Adult  ,Costco,$0.32,2.25,
,,,"Kirkland Signature Chicken, Rice and Egg Mature Dog Food",Adult  ,Costco,$0.26,2.25,
,,,"Kirkland Signature Chicken, Rice and Vegetable Puppy Dog Food",Puppy,Costco,$0.37,2,
,,,"Kirkland Signature Lamb, Rice & Vegetables Adult Dog Food",Adult  ,Costco,$0.31,2.25,
,,,Nature's Domain Salmon & Sweet Potato,Adult  ,Costco,$0.32,3,
,,,Nature’s Domain Turkey Meal & Sweet Potato,Adult  ,Costco,$0.29,3.25,
,,,Nature's Domain Organic Chicken and Pea Dog Food,Adult  ,Costco,$0.47,3,
,,,Lifetime,,,,,
,,,Fish and Oatmeal,Adult  ,,$0.40,,
,,,Chicken and Oatmeal,Adult  ,petland,$0.41,,
,,,Masterfeed,,,,,
,,,Country Balance ,Adult  ,ferhway,$0.19,,
,,,Puppy Food,Puppy,,$0.38,,
,,,Happy Hound,Adult  ,,$0.24,,
,,,Premium Adult Complete Lamb & Rice Diet,Adult  ,,,,
,,,Merrick,,,,,
,,,Limited Ingredient Grain Free,,,,,
,,,Grain Free Salmon & Sweet Potato,,,$1.09,,"Deboned Salmon, Salmon Meal, Sweet Potatoes, Peas, Potatoes, Pea Protein, Sunflower Oil, Natural Flavor, Organic Alfalfa, Salt, Minerals (Zinc Sulfate, Iron Amino Acid Complex, Zinc Amino Acid Complex, Manganese Amino Acid Complex, Copper Amino Acid Complex, Potassium Iodide, Cobalt Amino Acid Complex, Sodium Selenite), Vitamins (Vitamin E Supplement, "
,,,Grain Free Duck & Sweet Potato,,,$0.95,,"Deboned Duck, Duck Meal, Sweet Potatoes, Peas, Potatoes, Pea Protein, Duck Fat (preserved with mixed tocopherols), Natural Flavor, Potato Protein, Organic Alfalfa, Salt, Minerals (Zinc Sulfate, Iron Amino Acid Complex, Zinc Amino Acid Complex, Manganese Amino Acid Complex, Copper Amino Acid Complex, Potassium Iodide, Cobalt Amino Acid Complex, Sodium Selenite), Vitamins (Vitamin E Supplement, Vitamin A Acetate, Vitamin B12 Supplement, d"
,,,Grain Free Lamb & Chickpeas,,,$0.95,,"Deboned Lamb, Lamb Meal, Chickpeas, Lentils, Peas, Sunflower Oil (preserved with mixed tocopherols), Flaxseed, Natural Flavor, Minerals (Salt, Zinc Amino Acid Complex, Iron Amino Acid Complex, Potassium Chloride, Sodium Selenite, Manganese Amino Acid Complex, Copper Amino Acid Complex,"
,,,Grain Free  Real Chicken,,,$0.95,,"Deboned Chicken, Chicken Meal, Chickpeas, Lentils, Peas, Sunflower Oil (preserved with mixed tocopherols), Flaxseed, Natural Flavor, Minerals (Salt, Zinc Amino Acid Complex, Iron Amino Acid Complex, Potassium Chloride, Sodium Selenite, Manganese Amino Acid Complex, Copper Amino Acid Complex, Calcium Iodate), Vitamins (Choline Chloride, Vitamin E Supplement, Vitamin B12 Supplement, "
,,,Classic,,,,,
,,,"Real Chicken, Green Peas & Ancient Grains",Adult  ,,$0.85,,"Deboned Chicken, Chicken Meal, Peas, Turkey Meal, Brown Rice, Barley, Chicken Fat (preserved with mixed tocopherols), Oatmeal, Natural Flavor, Quinoa, Salmon Meal, Chicken LIver, Carrots, Apples, Flaxseed Oil (source of Omega-3 fatty acids), Blueberries, Chia Seed, Organic Dried Alfalfa Meal, Salt, Choline Chloride, Minerals (Iron Amino Acid Complex, Zinc Amino Acid C"
,,,"REal Lamb, Green Peas & Ancient Grains",Adult  ,,$0.86,,"Deboned Lamb, Lamb Meal, Peas, Brown Rice, Barley, Natural Flavor, Chicken Fat (preserved with mixed tocopherols), Pork Meal, Oatmeal, Quinoa, Lamb Liver, Salmon Meal, Carrots, Apples, Flaxseed Oil (source of Omega 3-fatty acids), Blueberries, Chia Seed, Organic Dried Alfalfa Meal, Salt, Choline Chloride, Minerals (Iron Amino Acid Complex, Zinc Ami"
,,,"Real Beef, Green Peas & Ancient Grains",Adult  ,,$0.85,,"Deboned Beef, Pork Meal, Peas, Brown Rice, Barley, Pork Fat (preserved with mixed tocopherols), Lamb Meal, Natural Flavor, Pea Protein, Oatmeal, Quinoa, Beef Liver, Salmon Meal, Carrots, Apples, Flaxseed Oil (source of Omega-3 fatty acids), Blueberries, Chia Seed, Organic Dried A"
,,,Grain Free,,,,,
,,,Merrick Grain Free Real Venison + Chickpeas Recipe,,,$0.86,2.75,
,,,Beef & chicken Healthy Weight Recipe,Adult  ,,$0.77,,"Deboned Beef, Chicken Meal, Peas, Potatoes, Sweet Potatoes, Natural Flavor, Turkey Meal, Potato Protein, Pea Fiber, Flaxseed, Chicken Fat (preserved with mixed tocopherols), Sunflower Oil, Organic Dried Alfalfa Meal, Salt, Choline Chloride, Apples, Blueberries, Minerals ("
,,,real chicken and sweet potatoe puppy recipe,Puppy,,$0.81,,"Deboned Beef, Pork Meal, Peas, Brown Rice, Barley, Pork Fat (preserved with mixed tocopherols), Lamb Meal, Natural Flavor, Pea Protein, Oatmeal, Quinoa, Beef Liver, Salmon Meal, Carrots, Apples, Flaxseed Oil (source of Omega-3 fatty acids), Blueberries, Chia Seed, Organic Dried A"
,,,Real Chicken and Sweet potato Senior Recipe,Senior,,$0.95,,
,,,Real Chicken and Sweet Potatoe Recipe,Adult  ,,$0.95,,"Deboned Chicken, Chicken Meal, Turkey Meal, Peas, Sweet Potatoes, Potatoes, Chicken Fat, Natural Flavor, Salmon Meal, Pea Protein, Potato Protein, Flaxseed, Sunflower Oil, Salt, Organic Dehydrated Alfalfa Meal, Potassium Chloride, Apples, Blueberries, Choline Chloride, Salmon Oil, M"
,,,Real Duck and Sweet Potato Recipe,Adult  ,,$0.95,,"Deboned Duck, Chicken Meal, Turkey Meal, Peas, Sweet Potatoes, Potatoes, Chicken Fat, Salmon Meal, Pea Protein, Potato Protein, Deboned Chicken, Natural Flavor, Flaxseed, Sunflower Oil, Salt, Organic Dehydrated Alfalfa Meal, Potassium Chloride, Choline Chloride, Apples, Blueberries, Minerals (Iron Amino Acid Complex, Zinc Amino Acid Complex, Zinc Sulfate, Sodium Selenite, Manganese Amino Acid Co"
,,,Real turkey and sweet potato recipe,Adult  ,,$0.95,,"Deboned Turkey, Turkey Meal, Chicken Meal, Peas, Sweet Potatoes, Potatoes, Chicken Fat, Natural Flavor, Salmon Meal, Pea Protein, Potato Protein, Flaxseed, Sunflower Oil, Salt, Organic Dehydrated Alfalfa Meal, Potassium Chloride, Choline Chloride, Apples, Blueberries, Minerals (Iron Amino Acid Complex, Zinc Amino Acid Complex, Zinc Sulfate, Sodium Selenite, Manganese Amino Acid Complex, Copper Amino Acid Complex, Potassium Iodide, Cobalt Proteinate, Cobalt Carbonate), Salmon Oil, Taurine, Yucca Schidigera Extract, Mixed T"
,,,Real Texas Beef and Sweet Potatoe,Adult  ,,$0.95,,"Deboned Beef, Lamb Meal, Salmon Meal, Peas, Sweet Potatoes, Potatoes, Potato Protein, Pea Protein, Pork Fat, Natural Flavor, Beef Liver, Beef Stock, Sunflower Oil, Salt, Flaxseed, Organic Dehydrated Alfalfa Meal, Potassium Chloride, Apples, Blueberries, Choline Chloride, Minerals (Iron Amino Acid Complex, Zinc Amino Acid Complex, Zinc Sulfate, Sodium Selenite, Manganese Amino Acid Complex, Copper Amino Acid Complex, Copper Sulfate, Potassium Iodide, Cobalt Proteinate, Cobalt Carbonate), Taurine, Yucca Schidigera Extract, Mixed Tocopherols for Freshness, Vitamins (Vitamin E Suppl"
,,,Real Texas Beef and Sweet Potatoe Puppy,Puppy,,$0.81,,"Deboned Beef, Sweet Potatoes, Peas, Lamb Meal, Potatoes, Pea Protein, Pork Fat, Natural Flavor, Salmon Meal, Potato Protein, Flaxseed, Sunflower Oil, Deboned Salmon, Salt, Organic Dehydrated Alfalfa Meal, Potassium Chloride, Choline Chloride, Apples, Blueberries, Minerals (Iron Amino Acid Complex, Zinc Amino Acid Complex, Zinc Sulfate, Sodium Selenite, Manganese Amino Acid Complex, Copper Amino Acid Complex, Copper Sul"
,,,Real Salmon & Sweet Potatoe Recipe,Adult  ,,$0.95,,"Deboned Salmon, Salmon Meal, Peas, Sweet Potatoes, Potatoes, Whitefish Meal, Sunflower Oil, Pea Protein, Potato Protein, Natural Flavor, Flaxseed, Deboned Whitefish, Salt, Organic Dehydrated Alfalfa Meal, Potassium Chloride, Choline Chloride, Apples, Blueberries, Minerals (Iron Amino Acid Complex, Zinc Amino Acid Complex, Zinc Sulfate, Sodium Selenite, Manganese Amino Acid Complex, Copper Amino Acid Complex, Potassium Iodide, Cobalt Proteinate, Cobalt Carbonate), Taurine, Yucca Schidigera Extract, Mixed Tocopherols for Freshness, Vitam"
,,,Real Rabbit & Chickpea Recipe,Adult  ,,$0.95,,"Deboned Rabbit, Chicken Meal, Pork Meal, Peas, Sweet Potatoes, Potatoes, Pea Protein, Chicken Fat, Natural Flavor, Sunflower Oil, Flaxseed, Salt, Salmon Oil, Organic Dehydrated Alfalfa Meal, Potassium Chloride, Choline Chloride, Apples, Blueberries, Minerals (Iron Amino Acid Complex, Zinc Amino Acid Complex, Zinc Sulfate, Sodium Selenite, Manganese Amino Acid Complex, Copper Amino Acid Complex, Copper Sulfate, Potassium Iodide, Cobalt Proteinate, Cobalt Carbonate), Taurine, Yucca Schidigera Extract, Mixed Tocopherols for Freshness, Vitamins"
,,,Real Lamb and Sweet potato recipe,Adult  ,,$0.95,,"Deboned Lamb, Lamb Meal, Peas, Brown Rice, Barley, Natural Flavor, Chicken Fat (preserved with mixed tocopherols), Pork Meal, Oatmeal, Quinoa, Lamb Liver, Salmon Meal, Carrots, Apples, Flaxseed Oil (source of Omega 3-fatty acids), Blueberries, Chia Seed, Organic Dried Alfalfa Meal, Salt, Choline Chloride, Minerals (Iron Amino Acid Complex, Zinc Ami"
,,,Natural Balance,,,,,
,,,Natural Balance L.I.D. Chicken & Sweet Potato,Adult  ,,$0.79,2.5,
,,,Sweet Potatoe and Fish SB,Adult  ,,$1.21,1,
,,,Nature's Instinct Raw Frozen Bites,,,,,
,,,Chicken ,Adult  ,,$1.80,1,
,,,Nature's Logic ,,,,,
,,,Distinction,,,,,
,,,Beef Formula,,,$1.18,,
,,,Chicken Formula,,,$1.19,,
,,,Pork Formula,,,$1.05,,
,,,Nulo,,,,,
,,,MedalSeries,,,,,
,,,Nulo MedalSeries Adult Dog Food - Grain Free Chicken,Adult  ,petsmart,$0.87,,
,,,Nulo MedalSeries Adult Dog Food - Grain Free Salmon,Adult  ,petsmart,$0.00,,
,,,Nulo MedalSeries Adult Dog Food - Grain Free Lamb,Adult  ,petsmart,$0.87,,
,,,Nulo Medal Series High Meat Kiblle Limited Ingredient Diet Turkey,Adult  ,,$0.00,,
,,,Nulo MedalSeries Puppy Chicken & Sweet Potato,Puppy,petsmart,$0.87,,
,,,Nulo Medal Series High Meat Kiblle for Seniors Chicken and Lentils,Senior,Petsmart,$0.87,,
,,,Nulo MedalSeries High Meat Kiblle for Small Breeds Turkey & Chickpeas,Adult SB,petsmart,$1.18,,
,,,Nulo Medal Series High Meat Kibble Salmon & Sweet Potato,Adult  ,,$0.00,,
,,,Nulo Medal Series High Meat Kibble Large Breed Turkey,Adult LB,petsmart,$0.83,,
,,,Nulo Medal Series High Meat Kiblle Weight Management Chicken and Sweet Pototo,Adult  ,,$0.00,,
,,,FreeStyle,,,,,
,,,Nulo FreeStyle Adult Dog Lamb & chickpeas,Adult  ,,$1.00,,
,,,Nulo FreesStyle High Meat Kiblle Salmon & Peas,Adult  ,,$1.00,,
,,,Nulo FreeStyle High Meat Kibble Limited + Small Breed Turkey Recipe,Adult SB,,$1.44,,
,,,Nulo FreeStyle High Meat Kiblle Limited + Alaska Pollock Recipe,Adult  ,,$1.24,,
,,,Nulo FreeStyle High Meat Kiblle for Small Breed Salmon and Red Lentils,Adult SB,,$1.23,,
,,,Nulo FreeStyle High Meat Kiblle Turkey & Sweet Potatoe Recipe,Adult  ,,$0.99,,
,,,Nulo FreeStyle High Meat Limited + Salmon Recipe,Adult  ,,$1.14,,
,,,Nulo FreeSTyle High Meat Kiblle Trim cod & Lentils Recipe,Adult  ,,$0.99,,
,,,Nulo FreeStyle High Meat Kibble Limited + Turkey Recipe,Adult  ,,$1.24,,
,,,Nulo FreeStyle High Meat Kibble for Puppies Salmon and Peas ,Puppy,,$1.00,,
,,,Nulo FreeStyel High Meat Kibble for Puppies Turkey and Sweet Potato,Puppy,,$0.99,,
,,,Nulo FreeStyle High Meat Kibble for Seniors Trout and Sweet Potato,Senior,,$0.99,,
,,,FrontRunner (Not available in Canada),,,,,
,,,Nulo FrontRunner High Meat Kibble chicken Oats & Turkey,Adult  ,,,,
,,,Nulo FrontRunner High Meat Kibble Beef Barley & Lamb,Adult  ,,,,
,,,Nylo FrontRunner High Meat Kiblle for Puppies Chicken Oats and Turkey,Puppy,,,,
,,,"Nulo FrontRunner High-Meat Kibble for Small Breeds Turkey, whitefish & quinoa",Adult SB,,,,
,,,"Nulo FrontRunner High Meat Kiblle Pork, Barley and Beef Recipe",Adult  ,,,,
,,,Nulo FrontRunner High Meat Kiblle Turkey Trout and Spelt,Adult  ,,,,
,,,Challenger (Not available in Canada),,,,,
,,,Nulo Challenger High Meat Kibble Beef Pork and Lamb,Adult  ,,,,
,,,Nulo Challenger High Meat Kibble Duck Turkey and guinea fowl,Adult  ,,,,
,,,"Nulo challenger High Meat Kiblle or Large Breed Puppies Beef, Lamb & Pork",Puppy LB,,,,
,,,"Nulo Challenger High Meat Kibble for Small Breeds Haddock, Salmon and Acadian Redfish",Adult SB,,,,
,,,Nutrisource,,,,,
,,,Small and Medium Breed Puppy,Puppy,Canadian Pet  Connection,$0.71,2,"Chicken meal, chicken, brown rice, menhaden fish meal (a source of fish oil), oatmeal, chicken fat (preserved with mixed tocopherols and citric acid),white rice, flax seeds, beet pulp-dried, sunflower oil, dried tomato pomace, natural  chickenflavor, potassium chloride, dried brewers yeast, salt, minerals (zincproteinate, ironproteinate, copper proteinate, manganese protein"
,,,Large Breed Puppy,Puppy,Canadian Pet  Connection,$0.57,,"Chicken, chicken meal, brown rice, white rice, barley, peas, oatmeal, beet pulp-dried, chicken fat (preserved with mixed tocopherols and citric acid), natural turkey and chicken flavor, flax seeds, menhaden fish meal (a source of fish oil), dried brewers yeast, sunflower oil, dried kelp meal, salt, minerals (zinc proteinate, iron proteinate, copper proteinate, man"
,,,,,,,,
,,,Small Bites Woodlands Select,Adult SB,,$0.00,,"Wild Boar, turkey, turkey meal, menhaden fish meal, green lentils, red lentils, garbanzo beans, sunflower meal, sunflower oil tapioca starch, chia seed, dried tomato pomace, dicalcium phosphate, natural flavor, salt, dried brewers yeast, potassium chloride, choline chloride, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, cobalt proteinate, selenium yeast), vitamins (vitamin A acetate, vitamin D3 supplement, vitamin E supplement, niacin, d-calcium pantothenate, thiamine mononitrate, pyridoxine"
,,,Small Bites Seafood Select,Adult SB,Canadian Pet  Connection,$0.93,,"Salmon, menhaden fish meal, peas, pea flour, pea starch, chicken fat (preserved with mixed tocopherols and citric acid), alfalfa meal, natural turkey and chicken flavor, flax seeds, dried tomato pomace, sunflower oil, dicalcium phosphate, dried brewers yeast, potassium chloride, calcium carbonate, salt,minerals (zinc proteinate, iron proteinate, copp"
,,,Small Bites Chicken,Adult SB,Canadian Pet  Connection,$0.84,,"Chicken, chicken meal, peas, pea starch, pea flour, chicken fat (preserved with mixed tocopherols and citric acid), flax seeds, alfalfa meal, natural turkey and chicken flavors, salmon meal (a source of fish oil), sunflower oil, driedbrewers yeast, dried tomato pomace, dried egg product, salt, potassium chloride, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, cobalt proteinate, "
,,,Weight Management,Adult  ,Canadian Pet  Connection,$0.60,,
,,,High Plains Select,Adult  ,,,,
,,,Woodlands Select,Adult  ,Canadian Pet  Connection,$0.87,,"Wild Boar, turkey, turkey meal, menhaden fish meal, green lentils, red lentils, garbanzo beans, sunflower meal, sunflower oil, tapioca starch, chia seed, dried tomato pomace, dicalcium phosphate, natural flavor, salt, dried brewers yeast, potassium chloride, choline chloride, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, cobalt proteina"
,,,Prairie Select,Adult  ,Canadian Pet  Connection,$0.78,,"Quail, duck, green lentils, duck meal, peas, garbanzo beans, pea flour, sunflower meal, turkey meal, chicken fat (preserved with mixed tocopherols and citric acid), flax seeds, alfalfa meal,natural flavors, red lentils, tapioca starch, calcium carbonate, sunflower oil, dicalcium phosphate, dried brewers yeast, salt, salmon oil "
,,,Seafood Select,Adult  ,Perpetual pantry,$0.74,1.33,"Salmon, menhaden fish meal, peas, pea flour, pea starch, chicken fat (preserved with mixed tocopherols and citric acid), alfalfa meal, natural turkey and chicken flavor, flax seeds, dried tomato pomace, sunflower oil, dicalcium phosphate, dried brewers yeast, potassium chloride, calcium carbonate, salt,minerals (zinc proteinate, iron proteinate, copper proteinate,"
,,,Chicken & Pea,Adult  ,,$0.70,,"Chicken, chicken meal, peas, pea starch, pea flour, chicken fat (preserved with mixed tocopherols and citric acid), flax seeds, alfalfa meal, natural turkey and chicken flavors, salmon meal (a source of fish oil), sunflower oil, driedbrewers yeast, dried tomato pomace, dried egg product, salt, potassium chloride, minerals (zinc proteinate, iron proteinate, copper proteinate,"
,,,Large Breed Chicken & Pea,Adult  ,walmart ,$0.74,,"Chicken, chicken meal, pea starch, peas, pea flour,chicken fat (preserved with mixed tocopherols and citric acid), natural turkey and chicken flavors, tapioca starch, dried tomato pomace, calcium carbonate, dried brewers yeast, "
,,,Lamb Meal & Peas,Adult  ,Canadian Pet  Connection,$0.78,,"Lamb meal, peas, garbanzo beans, chicken fat (preserved with mixed tocopherols and citric acid), salmon meal (a source of fish oil), pea starch, alfalfa meal, natural turkey and chicken flavor, dried tomato pomace, dried egg product, flax seed, sunflower oil, potassium chloride, dried brewers yeast, salt, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, c"
,,,Large Breed Lamb & Peas,Adult  ,walmart,$0.78,,"Lamb meal, peas, pea starch, pea flour, salmon meal, chicken fat (preserved with mixed tocopherols and citric acid), flax seed, natural turkey and chicken flavor, tapioca starch, dried tomato pomace, sunflower oil, alfalfa meal, potassium chloride, dried brewers yeast, salt, dicalcium phosphate, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, cobalt proteinate"
,,,Heartland Select,Adult  ,,$0.00,,"Bison, chicken, chicken meal, peas, pea flour, sunflower meal, pea starch, menhaden fish meal, alfalfa meal, flax seeds, tapioca starch,  chicken fat (preserved with mixed tocopherols and citric acid), natural turkey and chicken flavor, sunflower oil, pea protein, calcium carbonate, potassium chloride, dried tomato pomace, driedbrewers yeast,  salt, "
,,,Beef & Rice,Adult  ,dog food direct,$0.53,,"Beef, lamb meal, brown rice, oatmeal, barley, beet-pulp dried, flax seed, chicken fat (preserved with mixed tocopherols and citric acid), menhaden fish meal, natural turkey and chicken flavor, dried brewers yeast, salt, potassium chloride, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, cobalt proteinate, selenium yeast),choline chloride, vitamins "
